Supplier_ID,Supplier_Name,Email,phone_number,Address
1,ABC Suppliers,contact@abc.com,1234567890,123 Elm Street
2,XYZ Wholesale,info@xyz.com,9876543210,456 Oak Avenue
3,Global Imports,sales@global.com,5551234567,789 Maple Lane
4,Home Comforts,info@homecomforts.com,1122334455,100 Garden Lane
5,Office Pro,support@officepro.com,2233445566,200 Park Avenue
6,Tech Innovations,contact@techinnovations.com,3344556677,300 River Road
7,Gadget Central,sales@gadgetcentral.com,4455667788,400 Ocean Blvd
8,Superior Supplies,info@superiorsupplies.com,5566778899,500 Hilltop Drive
9,Obrien Group,donaldwilliams@example.net,+1-226-986-9334,"Unit 7474 Box 2541
DPO AP 38474"
10,"Hansen, Hart and Kim",william10@example.org,(707)934-6577,"063 Brown Park
Jacksonbury, CT 51686"
11,Hines-Weaver,cunninghammallory@example.org,+1-901-623-0291,"USNS Bridges
FPO AA 56338"
12,Byrd-Taylor,gloria27@example.net,+1-825-231-9726,"824 Delgado Stravenue Apt. 209
East Ryan, MN 66911"
13,"Richardson, Henry and Decker",sbrown@example.org,001-341-562-829,"93660 Lucas Passage
Kristenchester, MS 27619"
14,Perez Inc,vclark@example.org,559-467-3001x99,"5551 Christopher Place Suite 366
West Stephen, WA 22835"
15,Martin-Escobar,steven22@example.com,555-817-8069x13,"11401 Linda Square
Taylorshire, KY 83221"
16,Miller and Sons,carrie45@example.org,(365)217-2207x1,"9525 Butler Road Apt. 390
West Bailey, KS 60393"
17,Day-Murphy,emilynorton@example.net,899-899-3116x25,"19739 Alan Fork Apt. 153
Jeffreyberg, MI 44104"
18,"Thompson, Combs and Powell",erica14@example.com,414-862-9919x84,"PSC 8571, Box 2183
APO AE 81130"
19,Hines Group,clarkelijah@example.com,470-580-1743,"309 Ray Island
East Carriehaven, MS 41420"
20,"Smith, Hill and Mitchell",copelandstephanie@example.com,(358)916-8343x4,"523 Aguilar Neck Suite 527
North Richard, RI 90567"
21,Roberts-Byrd,erinyu@example.net,870.884.3334x40,"972 Sullivan Isle Suite 691
East Davidtown, KY 28349"
22,Fuentes LLC,randytaylor@example.com,001-265-552-352,"Unit 3455 Box 3747
DPO AE 44277"
23,Collins Ltd,alopez@example.org,860.633.6641,"825 Pittman River
Wileyfort, ND 87215"
24,Tran Inc,bking@example.net,+1-647-385-4578,"4210 Jessica Prairie
Hernandezton, RI 83248"
